Date,deviceID,target,Change_Pts_per_day
333,2022-01-18,nm-mngd-20210927-1aaa32b5,Atlanta,2
334,2022-01-18,nm-mngd-20210927-1aaa32b5,Chicago,5
335,2022-01-18,nm-mngd-20210927-1aaa32b5,Seattle,6
336,2022-01-18,nm-mngd-20210927-4a1de38c,Atlanta,2
337,2022-01-18,nm-mngd-20210927-4a1de38c,Chicago,8
338,2022-01-18,nm-mngd-20210927-4a1de38c,Seattle,1
339,2022-01-18,nm-mngd-20210927-9044c591,Atlanta,2
340,2022-01-18,nm-mngd-20210927-9044c591,Chicago,10
341,2022-01-18,nm-mngd-20210927-9044c591,Seattle,6
342,2022-01-19,nm-mngd-20210518-221fcce5,Atlanta,1
343,2022-01-19,nm-mngd-20210518-221fcce5,Chicago,1
344,2022-01-19,nm-mngd-20210518-221fcce5,Seattle,1
345,2022-01-19,nm-mngd-20210518-f2242dfd,Atlanta,1
346,2022-01-19,nm-mngd-20210518-f2242dfd,Chicago,1
347,2022-01-19,nm-mngd-20210518-f2242dfd,Seattle,1
348,2022-01-19,nm-mngd-20210924-77f105f0,Atlanta,2
349,2022-01-19,nm-mngd-20210924-77f105f0,Chicago,10
350,2022-01-19,nm-mngd-20210924-77f105f0,Seattle,3
351,2022-01-19,nm-mngd-20210927-1aaa32b5,Atlanta,6
352,2022-01-19,nm-mngd-20210927-1aaa32b5,Chicago,10
353,2022-01-19,nm-mngd-20210927-1aaa32b5,Seattle,2
354,2022-01-19,nm-mngd-20210927-4a1de38c,Atlanta,1
355,2022-01-19,nm-mngd-20210927-4a1de38c,Chicago,10
356,2022-01-19,nm-mngd-20210927-4a1de38c,Seattle,1
357,2022-01-19,nm-mngd-20210927-9044c591,Atlanta,3
358,2022-01-19,nm-mngd-20210927-9044c591,Chicago,4
359,2022-01-19,nm-mngd-20210927-9044c591,Seattle,2
360,2022-01-20,nm-mngd-20210518-221fcce5,Atlanta,1
361,2022-01-20,nm-mngd-20210518-221fcce5,Chicago,5
362,2022-01-20,nm-mngd-20210518-221fcce5,Seattle,1
363,2022-01-20,nm-mngd-20210518-f2242dfd,Atlanta,3
364,2022-01-20,nm-mngd-20210518-f2242dfd,Chicago,9
365,2022-01-20,nm-mngd-20210518-f2242dfd,Seattle,10
366,2022-01-20,nm-mngd-20210924-77f105f0,Atlanta,1
367,2022-01-20,nm-mngd-20210924-77f105f0,Chicago,4
368,2022-01-20,nm-mngd-20210924-77f105f0,Seattle,3
369,2022-01-20,nm-mngd-20210927-1aaa32b5,Atlanta,4
370,2022-01-20,nm-mngd-20210927-1aaa32b5,Chicago,4
371,2022-01-20,nm-mngd-20210927-1aaa32b5,Seattle,10
372,2022-01-20,nm-mngd-20210927-4a1de38c,Atlanta,1
373,2022-01-20,nm-mngd-20210927-4a1de38c,Chicago,3
374,2022-01-20,nm-mngd-20210927-4a1de38c,Seattle,1
375,2022-01-20,nm-mngd-20210927-9044c591,Atlanta,3
376,2022-01-20,nm-mngd-20210927-9044c591,Chicago,5
377,2022-01-20,nm-mngd-20210927-9044c591,Seattle,3
378,2022-01-21,nm-mngd-20210518-221fcce5,Atlanta,1
379,2022-01-21,nm-mngd-20210518-221fcce5,Chicago,5
380,2022-01-21,nm-mngd-20210518-221fcce5,Seattle,1
381,2022-01-21,nm-mngd-20210518-f2242dfd,Atlanta,1
382,2022-01-21,nm-mngd-20210518-f2242dfd,Chicago,1
383,2022-01-21,nm-mngd-20210518-f2242dfd,Seattle,1
384,2022-01-21,nm-mngd-20210924-77f105f0,Atlanta,37
385,2022-01-21,nm-mngd-20210924-77f105f0,Chicago,42
386,2022-01-21,nm-mngd-20210924-77f105f0,Seattle,41
387,2022-01-21,nm-mngd-20210927-1aaa32b5,Atlanta,2
388,2022-01-21,nm-mngd-20210927-1aaa32b5,Chicago,10
389,2022-01-21,nm-mngd-20210927-1aaa32b5,Seattle,2
390,2022-01-21,nm-mngd-20210927-4a1de38c,Atlanta,1
391,2022-01-21,nm-mngd-20210927-4a1de38c,Chicago,6
392,2022-01-21,nm-mngd-20210927-4a1de38c,Seattle,1
393,2022-01-21,nm-mngd-20210927-9044c591,Atlanta,1
394,2022-01-21,nm-mngd-20210927-9044c591,Chicago,5
395,2022-01-21,nm-mngd-20210927-9044c591,Seattle,2
396,2022-01-22,nm-mngd-20210518-221fcce5,Atlanta,1
397,2022-01-22,nm-mngd-20210518-221fcce5,Chicago,1
398,2022-01-22,nm-mngd-20210518-221fcce5,Seattle,1
399,2022-01-22,nm-mngd-20210518-f2242dfd,Atlanta,1
400,2022-01-22,nm-mngd-20210518-f2242dfd,Chicago,9
401,2022-01-22,nm-mngd-20210518-f2242dfd,Seattle,2
402,2022-01-22,nm-mngd-20210924-77f105f0,Atlanta,56
403,2022-01-22,nm-mngd-20210924-77f105f0,Chicago,54
404,2022-01-22,nm-mngd-20210924-77f105f0,Seattle,59
405,2022-01-22,nm-mngd-20210927-1aaa32b5,Atlanta,4
406,2022-01-22,nm-mngd-20210927-1aaa32b5,Chicago,6
407,2022-01-22,nm-mngd-20210927-1aaa32b5,Seattle,6
408,2022-01-22,nm-mngd-20210927-4a1de38c,Atlanta,1
