time,speedtest_ookla_download,speedtest_ookla_upload,speedtest_ndt7_download,speedtest_ookla_latency,speedtest_ndt7_downloadretrans,speedtest_ookla_jitter,speedtest_ookla_pktloss2,iperf_udp_download,speedtest_ndt7_minrtt,google_rtt_max_ms_under_ul,google_rtt_max_ms_under_dl,google_rtt_max_ms,dns_query_avg_ms,dns_query_max_ms,install
2021-07-01 11:05:28.657056+00:00,,,,,,,,,,,,12.11,27.5,91.0,Hyde Park
2021-07-01 11:10:31.886861+00:00,,,,,,,,,,,,12.158,20.0,59.0,Hyde Park
2021-07-01 11:15:28.495023+00:00,,,,,,,,,,,,11.985,22.0,51.0,Hyde Park
2021-07-01 11:20:31.121760+00:00,,,,,,,,,,,,8.337,20.5,43.0,Hyde Park
2021-07-01 11:25:28.035469+00:00,,,,,,,,,,,,12.648,23.0,51.0,Hyde Park
2021-07-01 11:30:26.957339+00:00,,,,,,,,,,,,8.019,28.5,83.0,Hyde Park
2021-07-01 11:35:29.255869+00:00,,,,,,,,,,,,17.587,25.0,47.0,Hyde Park
2021-07-01 11:40:29.061318+00:00,,,,,,,,,,,,10.185,27.0,71.0,Hyde Park
2021-07-01 11:45:27.440784+00:00,,,,,,,,,,,,9.474,22.0,51.0,Hyde Park
2021-07-01 11:50:28.279932+00:00,,,,,,,,,,,,11.411,24.0,67.0,Hyde Park
2021-07-01 11:55:26.528456+00:00,,,,,,,,,,,,11.465,26.0,55.0,Hyde Park
2021-07-01 12:00:29.110535+00:00,,,,,,,,,,,,13.176,31.0,115.0,Hyde Park
2021-07-01 12:05:28.256082+00:00,,,,,,,,,,,,12.943,18.5,31.0,Hyde Park
2021-07-01 12:10:28.227636+00:00,,,,,,,,,,,,11.398,27.5,63.0,Hyde Park
2021-07-01 12:11:22.842289+00:00,,,,,,,,575.0,,,,,,,Hyde Park
2021-07-01 12:13:59.624761+00:00,940.89552,41.698072,900.7378448428724,7.843,0.0,1.23,0.0,,3.831,19.919,9.885,,,,Hyde Park
2021-07-01 12:15:31.714404+00:00,,,,,,,,,,,,12.803,20.0,51.0,Hyde Park
2021-07-01 12:20:27.639177+00:00,,,,,,,,,,,,12.637,14.5,35.0,Hyde Park
2021-07-01 12:25:27.402284+00:00,,,,,,,,,,,,12.788,19.5,51.0,Hyde Park
2021-07-01 12:30:27.818856+00:00,,,,,,,,,,,,9.508,22.5,51.0,Hyde Park
2021-07-01 12:35:27.082831+00:00,,,,,,,,,,,,11.922,23.5,51.0,Hyde Park
2021-07-01 12:40:28.494030+00:00,,,,,,,,,,,,9.293,18.5,47.0,Hyde Park
2021-07-01 12:45:27.789128+00:00,,,,,,,,,,,,8.156,51.0,319.0,Hyde Park
2021-07-01 12:50:28.217603+00:00,,,,,,,,,,,,12.631,26.5,115.0,Hyde Park
2021-07-01 12:55:27.460052+00:00,,,,,,,,,,,,7.932,25.0,59.0,Hyde Park
2021-07-01 13:00:30.845526+00:00,,,,,,,,,,,,9.292,335.0,2571.0,Hyde Park
2021-07-01 13:05:26.973556+00:00,,,,,,,,,,,,12.932,25.5,59.0,Hyde Park
2021-07-01 13:10:27.340180+00:00,,,,,,,,,,,,14.004,31.0,91.0,Hyde Park
2021-07-01 13:15:32.257974+00:00,,,,,,,,,,,,13.597,19.5,51.0,Hyde Park
2021-07-01 13:20:28.433715+00:00,,,,,,,,,,,,12.375,16.5,31.0,Hyde Park
2021-07-01 13:25:28.426747+00:00,,,,,,,,,,,,10.728,21.0,55.0,Hyde Park
2021-07-01 13:30:28.841160+00:00,,,,,,,,,,,,12.418,21.5,47.0,Hyde Park
2021-07-01 13:35:29.162877+00:00,,,,,,,,,,,,8.364,20.0,47.0,Hyde Park
2021-07-01 13:40:29.882354+00:00,,,,,,,,,,,,8.297,22.0,51.0,Hyde Park
2021-07-01 13:45:28.147709+00:00,,,,,,,,,,,,8.246,26.5,63.0,Hyde Park
2021-07-01 13:50:26.852008+00:00,,,,,,,,,,,,8.187,20.0,47.0,Hyde Park
2021-07-01 13:55:27.994298+00:00,,,,,,,,,,,,9.488,18.5,47.0,Hyde Park
2021-07-01 14:00:27.678989+00:00,,,,,,,,,,,,13.278,25.0,59.0,Hyde Park
2021-07-01 14:05:28.298373+00:00,,,,,,,,,,,,8.539,27.0,55.0,Hyde Park
2021-07-01 14:10:28.308106+00:00,,,,,,,,,,,,13.01,27.0,71.0,Hyde Park
2021-07-01 14:14:08.556545+00:00,939.686336,41.52052,922.60898137372,7.079,0.00012545325207310328,1.33,,,4.536,21.045,13.605,,,,Hyde Park
2021-07-01 14:15:27.742744+00:00,,,,,,,,,,,,13.031,24.5,51.0,Hyde Park
2021-07-01 14:20:27.443463+00:00,,,,,,,,,,,,12.648,29.0,59.0,Hyde Park
2021-07-01 14:25:27.390792+00:00,,,,,,,,,,,,10.712,29.0,55.0,Hyde Park
2021-07-01 14:30:27.190583+00:00,,,,,,,,,,,,16.191,24.0,51.0,Hyde Park
2021-07-01 14:35:27.106717+00:00,,,,,,,,,,,,8.4,25.5,51.0,Hyde Park
2021-07-01 14:40:27.736963+00:00,,,,,,,,,,,,9.235,19.0,47.0,Hyde Park
